course_id,course_title,total_minutes_watched,average_minutes,number_of_ratings,average_rating
2,"Introduction to Tableau",50405.5,82.5,40,4.6250
3,"The Complete Data Visualization Course with Python, R, Tableau, and Excel",68922,125.77,34,4.7059
4,"Introduction to R Programming",28008.9,114.32,25,4.8800
5,"Data Preprocessing with NumPy",44323.8,164.77,31,4.9032
7,"Introduction to Data and Data Science",333265.9,39.09,572,4.8584
11,"Data Cleaning and Preprocessing with pandas",25412,68.87,53,4.6226
12,"Introduction to Business Analytics",13391.9,61.71,14,4.3571
13,"Data Analysis with Excel Pivot Tables",38021,51.31,90,4.8444
14,SQL,234824.8,144.6,125,4.8160
15,"Credit Risk Modeling in Python",19716.3,48.8,17,4.7059
16,"Python Programmer Bootcamp",155164.3,136.23,101,4.8218
19,"SQL + Tableau + Python",4938,37.41,7,5.0000
20,"Introduction to Jupyter",20050.7,36.46,57,4.9298
21,Statistics,193279.6,96.5,215,4.8140
22,Mathematics,12521.1,31.07,60,4.8500
23,"Introduction to Excel",164472.1,67.96,242,4.7769
24,Probability,42522.2,97.53,61,4.6721
25,"Starting a Career in Data Science: Project Portfolio, Resume, and Interview Process",12175.9,43.18,21,4.8095
26,"SQL + Tableau",3498.7,20.7,26,4.8077
27,"Time Series Analysis with Python",11573,68.08,11,4.6364
28,"Power BI",34077.8,59.68,47,4.5957
29,"Product Management for AI & Data Science",8862.6,54.04,17,4.8235
30,"Git and GitHub",6539.5,28.56,41,4.9756
32,"Deep Learning with TensorFlow 2",15436.7,80.82,13,4.7692
33,"Customer Analytics in Python",8137.4,60.28,11,5.0000
34,"Web Scraping and API Fundamentals in Python",11026.6,51.29,11,4.5455
35,"Introduction to Python",25355.5,37.79,100,4.7300
36,"Python for Finance",3908.8,40.3,10,4.6000
37,"Machine Learning in Python",37793.2,51.91,42,4.8095
39,"Advanced Microsoft Excel",14894.6,52.45,50,4.8600
41,"Convolutional Neural Networks with TensorFlow in Python",4125.6,73.67,4,4.7500
42,"Data Strategy",102887.5,73.75,154,4.7338
43,"Fashion Analytics with Tableau",3261.8,42.36,11,4.4545
44,"Dates and Times in Python",1246.1,37.76,8,4.8750
45,"SQL for Data Science Interviews",10072.5,14.6,16,4.7500
46,"Data Literacy",51092.2,129.68,72,4.7917
48,"AI Applications for Business Success",1262.3,36.07,4,4.2500
49,"Linear Algebra and Feature Selection",3280,46.86,7,4.8571
50,"Machine Learning with Naive Bayes",2454.5,28.88,17,4.7059
51,"Machine Learning in Excel",2587.6,41.07,6,4.6667
52,"Machine Learning with Support Vector Machines",1741.7,33.49,11,4.8182
53,"A/B Testing in Python",3989.1,29.99,12,4.7500
54,"Machine Learning with Decision Trees and Random Forests",2431.4,44.21,18,4.7778
55,"Machine Learning with K-Nearest Neighbors",1247.3,29.7,15,4.7333
56,"Machine Learning with Ridge and Lasso Regression",652.4,32.62,0,0.0000
57,"Data-Driven Business Growth",735.7,17.94,1,1.0000
